BODEGA,CODIGO,NEW_MAX
552,0000133312,2
557,01530,6
557,08878,4
558,07890,4
559,0000116830,4
559,04471,4
562,0000104200,2
562,0000120399,2
562,0000132281,3
563,05379,4
563,12432,4
565,0000133080,7
577,0000102898,4
577,0000122765,2
577,12013,4
580,01543,2
580,07292,2
580,08808,2
582,0000118381,2
582,0000133103,2
582,15109,2
587,0000127097,5
589,0000128730,2
589,00294,2
592,0000130158,4
604,0000134823,2
605,0000122775,2
608,0000136381,4
622,29378,7
629,0000125148,3
629,09833,2
632,0000116379,6
636,00571,2
640,0000127290,2
640,0000131824,8
640,09499,4
642,0000125136,4
642,0000129174,4
644,04572,10
645,0000130762,12
653,0000108041,2
653,0000128946,3
654,0000137304,2
670,0000128008,2
670,0000135799,4
670,07434,4
670,09058,4
670,12996,4
671,0000131677,4
677,0000123981,7
678,0000128716,4
678,0000134650,4
679,0000136206,4
679,0000136417,4
679,13375,7
682,0000134159,4
684,0000130785,8
684,0000134415,4
694,0000105975,4
709,00596,4
713,0000135011,7
713,10863,10
715,0000116827,4
727,0000123984,4
728,0000101842,2
729,19193,5
751,0000135011,7
751,12482,4
759,0000114675,4
759,07434,7
760,0000119673,2
760,0000130456,4
760,02107,2
760,02216,2
760,05666,4
762,0000120640,2
762,0000124381,2
762,0000134674,2
762,0000135011,13
762,0000136702,2
762,0000138516,4
762,0000139350,2
762,0000140828,2
762,12595,4
773,0000137773,2
774,12384,4
775,0000122860,2
780,0000110416,4
791,0000136285,2
792,0000132828,13
792,0000139509,6
801,24218,11
809,0000111565,2
811,0000104677,2
811,0000129525,2
811,12017,2
811,13703,2
816,02211,4
816,04072,4
818,0000128882,4
818,01773,4
818,05878,7
818,08488,4
819,0000134648,6
823,0000128710,5
825,0000106052,2
830,0000109548,4
830,04359,2
837,0000134828,3
837,01763,9
837,09088,3
838,08808,4
841,0000116832,4
841,0000132255,4
844,02346,4
848,0000110233,2
849,0000125185,4
850,0000134650,5
855,0000134648,11
855,08623,4
859,0000130153,4
859,00403,4
859,08676,2
859,22946,2
860,12134,7
861,09713,5
861,16603,5
863,07971,2
869,0000130454,4
869,0000134650,7
869,09788,4
869,09920,7
869,12150,4
871,0000111034,2
871,13557,4
881,0000134650,4
886,0000138238,2
886,10804,4
886,12335,4
894,0000124691,2
894,08476,3
897,01530,4
897,22972,2
899,09878,4
899,12799,8
924,00763,2
924,05968,4
924,07007,2
924,13435,4
926,04887,2
926,08642,2
943,0000116833,8
943,09992,4
004,0000120527,4
004,05827,4
004,07134,4
005,0000133634,2
005,07579,4
008,0000129532,4
011,12279,4
013,0000116826,4
013,0000119899,2
013,0000123151,2
013,0000131786,2
013,00070,13
013,13575,2
017,0000109448,2
017,0000133010,4
017,0000134848,11
017,12920,2
018,0000132859,4
018,12131,4
034,0000126525,6
036,0000101806,2
036,0000125109,2
036,0000125242,2
036,0000127023,4
036,0000130704,4
036,0000137988,4
036,07352,4
038,0000122790,4
040,0000107760,4
040,0000131873,3
040,02345,4
040,09859,4
042,0000103703,8
042,09992,4
042,12057,8
043,0000120669,4
050,0000135311,8
050,0000136377,4
051,0000111554,2
051,0000126356,4
051,0000129920,4
054,0000120317,4
054,0000130159,4
056,09984,10
057,13122,4
058,0000106831,2
060,0000127010,5
064,0000131286,4
064,0000141277,4
064,20513,7
065,0000129937,4
066,0000135482,7
066,12324,9
075,0000118120,4
075,0000119270,4
075,12505,4
075,13518,4
077,0000103622,4
077,0000127006,6
079,0000120835,3
079,00276,3
079,00589,7
080,0000128700,4
080,0000134159,4
081,0000129181,2
081,01724,2
081,12482,2
082,07436,2
088,0000119325,5
090,0000104679,4
090,0000126615,9
1003,0000112875,2
1003,0000123222,2
1007,0000128146,8
1007,0000131326,2
1007,04061,2
101,0000103579,2
101,0000119273,2
1015,0000127262,2
1015,0000131553,2
1015,12175,2
1019,02344,4
1019,13134,2
1020,0000129182,2
1020,0000136260,4
1024,17662,8
1025,0000133597,8
1025,0000134848,8
1029,00276,4
1031,0000115411,4
1031,0000123559,4
1032,02344,4
1037,0000106087,4
1037,0000107304,2
1037,0000119598,2
1037,0000124357,4
1037,0000130701,4
1039,01989,4
1040,12324,4
