BODEGA,CODIGO,NEW_MAX
173,01303,3.0
173,04418,3.0
173,0000122775,3.0
173,00285,3.0
173,13612,3.0
173,05531,3.0
173,0000123280,3.0
173,07391,3.0
173,0000137006,3.0
173,0000133488,3.0
173,0000135196,3.0
173,0000126507,3.0
173,0000127329,3.0
173,01877,3.0
173,20040,3.0
173,0000123278,3.0
173,0000123564,3.0
173,0000137510,3.0
173,0000124928,3.0
173,0000130555,3.0
173,07448,3.0
173,13579,3.0
173,0000107760,3.0
173,0000128997,3.0
173,01307,3.0
173,20144,3.0
173,09438,3.0
173,0000134592,3.0
173,09920,3.0
173,0000123175,3.0
173,0000131997,3.0
173,0000118304,3.0
173,0000120835,3.0
173,0000128226,3.0
173,06779,3.0
173,0000120444,3.0
173,0000130649,3.0
173,0000119445,3.0
173,06698,3.0
173,10245,3.0
173,28685,3.0
173,01254,3.0
173,0000129560,3.0
173,0000121192,3.0
173,0000124916,3.0
173,0000122183,3.0
173,0000134195,3.0
173,0000132253,3.0
173,0000122777,3.0
173,0000125227,3.0
173,0000136294,3.0
173,0000124621,3.0
173,0000122042,3.0
173,0000136749,3.0
173,0000123694,3.0
173,05787,3.0
173,0000124339,3.0
173,0000104649,3.0
173,0000128901,3.0
173,0000122435,3.0
173,0000109169,3.0
173,0000110878,3.0
173,0000133461,3.0
173,0000124716,3.0
173,0000120031,3.0
173,0000106105,3.0
173,0000114873,3.0
173,0000119798,3.0
173,01880,3.0
173,0000136918,3.0
173,01489,3.0
173,08643,3.0
173,07136,3.0
173,0000128146,3.0
173,0000133459,3.0
173,0000135928,3.0
173,0000136395,3.0
173,04033,3.0
173,11337,3.0
173,0000133068,3.0
173,22972,3.0
173,0000129085,3.0
173,12150,3.0
173,0000123565,3.0
173,0000134508,3.0
173,0000123235,3.0
173,0000130711,3.0
173,12385,3.0
173,09926,3.0
173,0000133010,3.0
173,11976,3.0
173,0000140929,3.0
173,0000122743,3.0
173,05366,3.0
173,0000118872,3.0
173,0000129595,3.0
173,0000135040,3.0
173,0000113526,3.0
173,24580,3.0
173,0000132345,3.0
173,02216,3.0
173,0000136042,3.0
173,0000117998,3.0
173,0000132840,3.0
173,0000116860,3.0
173,0000136335,3.0
173,0000120016,3.0
173,02233,3.0
173,0000139258,3.0
173,0000131616,3.0
173,02276,3.0
173,24376,3.0
173,0000127254,3.0
173,0000118408,3.0
173,0000109089,3.0
173,12786,3.0
173,07002,3.0
173,0000122047,3.0
173,0000104169,3.0
173,0000106054,3.0
173,0000130515,3.0
173,01413,3.0
173,0000131873,3.0
173,0000130460,3.0
173,0000110263,3.0
173,0000133106,3.0
173,0000121781,3.0
173,07018,3.0
173,0000136654,3.0
173,17893,3.0
173,08666,3.0
173,12322,3.0
173,0000129583,3.0
173,0000136758,3.0
173,0000130655,3.0
173,0000106053,3.0
173,13458,3.0
173,0000124375,3.0
173,0000134807,3.0
173,00020,3.0
173,12291,3.0
173,0000123045,3.0
173,0000123997,3.0
173,0000123404,3.0
173,0000109012,3.0
173,15141,3.0
173,15163,3.0
173,0000120032,3.0
173,10617,3.0
173,0000128364,3.0
173,14627,3.0
173,0000125020,3.0
173,0000134198,3.0
173,0000109324,3.0
173,0000129951,3.0
173,0000109326,3.0
173,04985,3.0
173,0000124947,3.0
173,05047,3.0
173,04750,3.0
173,08407,3.0
173,0000123962,3.0
173,0000118452,3.0
173,0000126629,3.0
173,0000140745,3.0
173,0000114635,3.0
173,0000119121,3.0
173,0000103901,3.0
173,0000136900,3.0
173,04502,3.0
173,0000133140,3.0
173,0000100738,3.0
173,0000000003,3.0
173,0000105788,3.0
173,05720,3.0
173,0000135406,3.0
173,0000125148,3.0
173,14527,3.0
173,07292,3.0
173,0000131592,3.0
173,13694,3.0
173,0000133064,3.0
173,0000129081,3.0
173,13269,3.0
173,0000109557,3.0
173,0000141752,3.0
173,0000109099,3.0
173,05238,3.0
173,04500,3.0
173,0000100789,3.0
173,0000134300,3.0
173,09381,3.0
173,0000113133,3.0
173,0000118168,3.0
173,13370,3.0
173,09971,3.0
173,08498,3.0
173,07044,3.0
173,0000115970,3.0
173,0000140952,3.0
173,13457,3.0
173,0000129191,3.0
173,24482,3.0
173,0000135226,3.0
173,0000104099,3.0
173,13894,3.0
173,0000120528,3.0
173,0000136592,3.0
173,0000119256,3.0
173,0000130823,3.0
173,08724,3.0
173,06246,3.0
173,0000119883,3.0
173,13737,3.0
173,0000132541,3.0
173,0000134825,3.0
173,0000104200,3.0
173,0000129190,3.0
173,12126,3.0
